epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.057,1.13372,1.87732,1.14797,0.78612,0.53478,0.57875,0.41135,0.9866,1.31461,1.11382,0.000474365,0.000474365,0.000474365
2,1000.89,0.98711,1.17243,1.04791,0.85037,0.54374,0.57441,0.4158,0.91283,1.28513,1.08776,0.000931875,0.000931875,0.000931875
3,1478.23,0.96939,1.05949,1.03168,0.88042,0.56617,0.58313,0.4178,0.96592,1.05327,1.08165,0.00137052,0.00137052,0.00137052
4,1954.08,0.94293,0.94216,1.03742,0.7133,0.54382,0.54417,0.40465,0.89542,1.1644,1.08772,0.00134412,0.00134412,0.00134412
5,2428.17,0.93987,0.87539,1.02292,0.86012,0.56202,0.59615,0.43644,0.92216,0.97969,1.06733,0.00131582,0.00131582,0.00131582
6,2921.43,0.88692,0.8116,1.00155,0.90699,0.58288,0.63979,0.46891,0.88163,0.79939,1.02065,0.00128753,0.00128753,0.00128753
7,3322.98,0.86301,0.75346,0.98131,0.73548,0.60407,0.59267,0.44124,0.86214,0.81698,1.01386,0.00125923,0.00125923,0.00125923
8,3778.66,0.86622,0.7454,0.97999,0.81276,0.63298,0.65406,0.47928,0.8376,0.73132,1.00783,0.00123094,0.00123094,0.00123094
9,4315.57,0.86836,0.7273,0.97395,0.9,0.58641,0.64689,0.47625,0.85526,0.75995,1.00819,0.00120265,0.00120265,0.00120265
10,4847.34,0.8491,0.68076,0.96672,0.80181,0.60254,0.65639,0.48968,0.84098,0.73157,0.99471,0.00117435,0.00117435,0.00117435
11,5358.79,0.80964,0.6512,0.95551,0.82121,0.59205,0.62545,0.47119,0.80852,0.70157,0.9774,0.00114606,0.00114606,0.00114606
12,5838.82,0.7928,0.64002,0.94684,0.88166,0.59333,0.64864,0.49138,0.80232,0.70523,0.9816,0.00111776,0.00111776,0.00111776
13,6305.49,0.81674,0.64654,0.94698,0.78629,0.61098,0.65165,0.49203,0.78998,0.68678,0.96572,0.00108947,0.00108947,0.00108947
14,6812.76,0.78659,0.59763,0.93935,0.77612,0.61526,0.6258,0.45933,0.84126,0.71987,0.97048,0.00106118,0.00106118,0.00106118
